RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,AVG,PCT,GMS,AVG,PCT
1,Bulls,41,"856,148","20,881",99.8,41,"18,198",96,82,"19,556",98
2,76ers,41,"846,867","20,655",98.4,41,"16,589",87,82,"18,622",93
3,Mavericks,41,"809,315","19,739",102.8,41,"17,092",92,82,"18,415",97
4,Heat,41,"804,761","19,628",100.1,41,"17,294",92,82,"18,476",96
5,Celtics,41,"766,240","19,156",100,41,"17,583",93,82,"18,360",97
6,Raptors,41,"547,343","18,873",95.3,41,"17,233",91,82,"17,913",93
7,Lakers,41,"764,631","18,649",97.8,41,"18,179",97,82,"18,414",97
8,NY Knicks,41,"763,484","18,621",94,41,"17,722",94,82,"18,177",94
9,Cavaliers,41,"758,228","18,493",95.2,41,"17,134",90,82,"17,813",93
10,Jazz,41,"750,546","18,306",100,41,"16,898",90,82,"17,610",95
11,Warriors,41,"740,624","18,064",100,41,"18,111",97,82,"18,087",98
12,Bucks,41,"715,581","17,453",100.6,41,"17,656",93,82,"17,555",97
13,Nets,41,"711,539","17,354",97.9,41,"17,456",92,82,"17,405",95
14,Trail Blazers,41,"705,608","17,209",88.5,41,"16,559",89,82,"16,888",89
15,Hornets,41,"700,755","17,091",89.6,41,"17,503",93,82,"17,294",91
16,Nuggets,41,"695,262","16,957",86.9,41,"16,864",90,82,"16,911",89
17,Clippers,41,"694,005","16,926",88.8,41,"16,910",90,82,"16,918",90
18,Suns,41,"679,252","16,567",91.8,41,"17,403",93,82,"16,979",92
19,Hawks,41,"672,742","16,408",97.2,41,"17,073",89,82,"16,736",93
20,Pistons,41,"663,556","16,184",79.6,41,"16,752",88,82,"16,468",84
21,Timberwolves,41,"657,148","16,028",84.5,41,"16,811",90,82,"16,419",87
22,Grizzlies,41,"646,785","15,775",85.7,41,"17,740",95,82,"16,757",90
23,Rockets,41,"638,977","15,584",86.3,41,"16,655",89,82,"16,120",88
24,Wizards,41,"637,215","15,541",75.4,41,"16,939",90,82,"16,231",82
25,Pelicans,41,"635,941","15,510",92,41,"16,727",89,82,"16,103",90
26,Magic,41,"622,881","15,192",80.6,41,"17,062",90,82,"16,127",85
27,Spurs,41,"615,588","15,014",81.8,41,"16,939",90,82,"15,965",86
28,Thunder,41,"595,112","14,877",81.7,41,"16,638",88,82,"15,768",85
29,Kings,41,"577,583","14,439",82.1,41,"16,598",88,82,"15,532",85
30,Pacers,41,"588,743","14,359",80.1,41,"16,794",89,82,"15,577",85
