% of sports gamblers who watch sports more than usual when betting on a game,
,
Sport,Percentage
NFL,67%
NBA,57%
MLB,46%
College Football,44%
"MMA, UFC, or Boxing",42%
NCAA Basketball,41%
Soccer,37%
NHL,36%
Golf,29%
