Year,Total Bets (Millions $),Annual Growth
2013,"$99,000,000 ",5%
2014,"$119,000,000 ",21%
2015,"$116,000,000 ",-3%
2016,"$133,000,000 ",14%
2017,"$138,000,000 ",4%
2018,"$159,000,000 ",15%
2019,"$191,000,000 ",20%
2020,"$280,000,000 ",47%
2021,"$486,000,000 ",73%
2022,"$1,100,000,000 ",119%
