RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,AVG,PCT,GMS,AVG,PCT
1,Jazz,36,"151,300","4,450",24.3,36,"3,104",17,72,"4,077",22
2,76ers,36,"68,583","3,810",18.1,36,"2,693",15,72,"3,284",17
3,Suns,36,"104,027","3,715",20.6,36,"2,951",16,72,"3,397",19
4,Mavericks,36,"94,849","3,648",19,36,"2,316",13,72,"3,140",17
5,Nuggets,36,"54,554","3,636",18.6,36,"2,481",13,72,"3,023",16
6,Magic,36,"130,712","3,630",19.3,36,"2,954",16,72,"3,405",18
7,Bulls,36,"13,655","3,413",16.3,36,"2,343",13,72,"2,538",13
8,Hornets,36,"68,255","3,412",17.9,36,"2,475",13,72,"2,981",16
9,Rockets,36,"117,009","3,250",18,36,"3,282",18,72,"3,259",18
10,Spurs,36,"61,053","3,052",16.6,36,"3,170",17,72,"3,111",17
11,Warriors,36,"33,457","3,041",16.8,36,"2,873",15,72,"2,939",16
12,Cavaliers,36,"91,476","2,950",15.2,36,"2,616",14,72,"2,828",15
13,Wizards,36,"21,331","2,666",12.9,36,"2,678",14,72,"2,675",14
14,Bucks,36,"64,780","2,591",14.9,36,"2,644",14,72,"2,612",15
15,Pelicans,36,"93,120","2,586",15.3,36,"2,793",15,72,"2,662",15
16,Raptors,36,"26,024","2,365",11.9,36,"2,046",11,72,"2,152",11
17,Lakers,36,"23,313","2,331",12.2,36,"3,015",16,72,"2,762",15
18,Celtics,36,"30,067","2,312",12.1,36,"2,781",15,72,"2,607",14
19,Hawks,36,"59,288","2,195",13,36,"2,786",15,72,"2,397",14
20,Grizzlies,36,"61,449","2,194",11.9,36,"2,928",16,72,"2,500",14
21,Trail Blazers,36,"7,756","1,939",10,36,"3,420",19,72,"3,138",17
22,NY Knicks,36,"42,131","1,755",8.9,36,"2,803",15,72,"2,244",12
23,Clippers,36,"13,901","1,737",9.1,36,"2,932",16,72,"2,590",14
24,Nets,36,"30,491","1,524",8.6,36,"3,005",16,72,"2,182",12
25,Timberwolves,36,"15,774","1,434",7.6,36,"2,307",12,72,"1,937",10
26,Pistons,36,"14,250",647,3.2,36,"2,946",16,72,"1,579",8
27,Pacers,36,0,0,--,36,"3,030",16,72,"2,840",15
27,Heat,36,0,0,--,36,"3,272",18,72,"3,108",17
27,Kings,36,0,0,--,36,"3,007",16,72,"2,660",15
27,Thunder,36,0,0,--,36,"2,463",13,72,"2,203",12
