America's Sports Betting Boom,
Gross gaming revenue from legal sports betting in the US,
Year,Gross Gaming Revenue
2022,"$7,500,000,000 "
2021,"$4,300,000,000 "
2020,"$1,500,000,000 "
2019,"$900,000,000 "
