RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,AVG,PCT,GMS,AVG,PCT
1,Bulls,41,"851,824","20,776",99.3,41,"18,030",94,82,"19,403",97
2,Cavaliers,41,"843,042","20,562",100,41,"19,071",100,82,"19,825",100
3,76ers,41,"833,503","20,329",100,41,"18,012",94,82,"19,185",97
4,Raptors,41,"813,431","19,839",100.2,41,"17,673",92,82,"18,756",96
5,Mavericks,41,"811,453","19,791",103.1,41,"17,374",92,82,"18,597",97
6,Heat,41,"785,250","19,631",100.2,41,"18,177",95,82,"18,895",97
7,Warriors,41,"803,436","19,596",100,41,"18,884",100,82,"19,240",100
8,Trail Blazers,41,"795,328","19,398",99.8,41,"17,556",93,82,"18,477",96
9,NY Knicks,41,"792,608","19,331",97.6,41,"18,179",95,82,"18,762",96
10,Lakers,41,"776,327","18,934",99.3,41,"18,655",99,82,"18,796",99
11,Celtics,41,"744,960","18,624",100,41,"18,588",98,82,"18,606",99
12,Spurs,41,"754,562","18,403",99,41,"18,427",97,82,"18,415",98
13,Thunder,41,"746,323","18,203",100,41,"18,866",99,82,"18,534",100
14,Wizards,41,"718,946","17,973",88.6,41,"17,682",92,82,"17,826",90
15,Jazz,41,"734,806","17,922",90,41,"17,495",93,82,"17,708",91
16,Rockets,41,"716,008","17,900",99.2,41,"18,369",97,82,"18,137",98
17,Magic,41,"715,728","17,893",94.9,41,"17,651",92,82,"17,770",93
18,Kings,41,"649,571","17,555",100.3,41,"17,478",92,82,"17,515",96
19,Pistons,41,"713,945","17,413",82.9,41,"17,959",94,82,"17,686",88
20,Nuggets,41,"702,796","17,141",89.5,41,"17,871",94,82,"17,506",92
21,Timberwolves,41,"699,308","17,056",89.9,41,"17,850",94,82,"17,453",92
22,Clippers,41,"697,812","17,019",89.3,41,"17,735",94,82,"17,373",91
23,Suns,41,"674,655","16,866",91.6,41,"17,610",92,82,"17,243",92
24,Bucks,41,"685,303","16,714",89.3,41,"18,380",95,82,"17,547",92
25,Pelicans,41,"673,920","16,437",95.6,41,"17,911",94,82,"17,174",95
26,Hornets,41,"671,404","16,375",85.8,41,"17,623",92,82,"16,999",89
27,Pacers,41,"658,119","16,051",88.4,41,"17,749",92,82,"16,889",90
28,Grizzlies,41,"653,863","15,947",88,41,"17,348",91,82,"16,648",90
29,Nets,41,"622,278","15,556",87.7,41,"17,687",94,82,"16,622",91
30,Hawks,41,"590,769","14,409",76.9,41,"17,854",93,82,"16,088",85
