RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,AVG,PCT,GMS,AVG,PCT
1,76ers,35,"639,491","20,628",102.4,38,"17,706",95,73,"19,122",98
2,Mavericks,38,"682,096","20,061",104.5,37,"18,249",98,75,"19,169",101
3,Raptors,36,"633,456","19,795",100,36,"17,789",95,72,"18,792",98
4,Heat,36,"629,771","19,680",100.4,37,"18,127",97,73,"18,891",99
5,Trail Blazers,36,"608,634","19,633",101,38,"17,941",97,74,"18,748",99
6,Nuggets,37,"633,153","19,186",98.3,36,"17,163",93,73,"18,190",96
7,Celtics,36,"610,864","19,089",102.5,36,"18,409",98,72,"18,749",100
8,Clippers,36,"610,176","19,068",100,36,"17,855",96,72,"18,461",98
9,Lakers,35,"588,907","18,997",99.6,36,"18,877",102,71,"18,936",101
10,NY Knicks,33,"620,789","18,811",95,33,"17,767",94,66,"18,289",95
11,Bulls,34,"639,352","18,804",89.9,31,"17,767",94,65,"18,310",92
12,Spurs,34,"550,515","18,350",100,37,"17,588",94,71,"17,951",97
13,Jazz,35,"567,486","18,306",100,37,"17,261",92,72,"17,767",96
14,Thunder,37,"600,699","18,203",100,35,"17,855",96,72,"18,034",98
15,Rockets,36,"578,458","18,076",100.1,36,"18,072",97,72,"18,074",98
16,Warriors,34,"614,176","18,064",100,31,"17,454",94,65,"17,773",97
17,Cavaliers,36,"623,576","17,816",91.7,29,"18,254",95,65,"18,014",93
18,Bucks,35,"549,036","17,710",102.1,38,"17,892",95,73,"17,805",98
19,Magic,35,"529,870","17,092",90.7,38,"17,243",92,73,"17,171",91
20,Kings,35,"520,663","16,795",95.5,37,"17,739",94,72,"17,282",95
21,Wizards,36,"532,702","16,646",80.8,36,"17,587",92,72,"17,117",86
22,Pacers,36,"529,002","16,531",92.2,37,"17,297",92,73,"16,914",92
23,Pelicans,36,"528,172","16,505",97.9,36,"18,234",97,72,"17,369",97
24,Nets,36,"524,907","16,403",92.5,36,"17,910",94,72,"17,157",93
25,Hawks,34,"545,453","16,042",95,33,"17,786",93,67,"16,901",94
26,Grizzlies,37,"523,297","15,857",86.2,36,"17,508",93,73,"16,670",90
27,Suns,39,"550,633","15,732",87.1,34,"17,660",95,73,"16,622",91
28,Pistons,33,"509,463","15,438",75.9,33,"17,641",94,66,"16,539",84
28,Hornets,31,"478,591","15,438",80.9,34,"17,564",92,65,"16,550",87
30,Timberwolves,32,"482,112","15,066",79.4,32,"17,463",93,64,"16,264",86
